City,Country,IATA,Lat,Lon
Aberdeen,United Kingdom,ABZ,57.204,-2.2
Ajaccio,France,AJA,41.924,8.803
Albi,France,LBI,43.914,2.113
Alghero Sassari,Italy,AHO,40.632,8.291
Ancona - Ancona Falconara Airport,Italy,AOI,43.609,13.357
Annecy,France,NCY,45.929,6.099
Aurillac,France,AUR,44.891,2.422
Bari,Italy,BRI,41.138,16.761
Barra (the famous tidal beach landing),United Kingdom,BRR,0,0
Bastia,France,BIA,42.554,9.483
Belfast - George Best Belfast City Airport,United Kingdom,BHD,54.618,-5.873
Belfast - Belfast International Airport,United Kingdom,BFS,54.657,-6.216
Benbecula,United Kingdom,BEB,57.481,-7.363
Bergamo/Milan - Orio Al Serio,Italy,BGY,45.674,9.704
Bergerac - Roumanieres,France,EGC,44.825,0.519
Biarritz,France,BIQ,43.468,-1.523
Birmingham - Birmingham International Airport,United Kingdom,BHX,52.454,-1.748
Blackpool,United Kingdom,BLK,53.772,-3.029
Bologna,Italy,BLQ,44.534,11.29
Bordeaux - Bordeaux Airport,France,BOD,44.828,-0.716
Bournemouth,United Kingdom,BOH,50.78,-1.843
"Brescia, Montichiari",Italy,VBS,45.429,10.331
Brest,France,BES,48.448,-4.418
Brindisi,Italy,BDS,40.657,17.947
Bristol,United Kingdom,BRS,51.383,-2.719
Cagliari,Italy,CAG,39.251,9.054
Calvi,France,CLY,42.531,8.793
Cambrigde,United Kingdom,CBG,52.205,0.175
Campbeltown,United Kingdom,CAL,NaN,NaN
Cannes – Mandelieu Airport,France,CEQ,43.542,6.953
Cardiff - Cardiff Airport,United Kingdom,CWL,51.397,-3.343
Catania,Italy,CTA,37.467,15.066
Chambery,France,CMF,45.638,5.88
Clermont Ferrand,France,CFE,45.786,3.169
Coventry - Baginton,United Kingdom,CVT,52.37,-1.48
Derry (Londonderry),United Kingdom,LDY,55.043,-7.161
Dinard,France,DNR,48.588,-2.08
Disneyland Paris,France,DLP,NaN,NaN
"Doncaster/Sheffield, Robin Hood International Airport",United Kingdom,DSA,NaN,NaN
Dundee,United Kingdom,DND,56.453,-3.026
"Elba Island, Marina Di Campo",Italy,EBA,42.76,10.239
Exeter,United Kingdom,EXT,50.734,-3.414
Fair Isle (Shetland),United Kingdom,FIE,NaN,NaN
Figari,France,FSC,41.501,9.098
Florence (Firenze) - Peretola Airport,Italy,FLR,43.81,11.205
Foula (Shetland),United Kingdom,FOU,0,0
Frejus,France,FRJ,NaN,NaN
Genoa,Italy,GOA,44.412,8.842
"Glasgow, Prestwick",United Kingdom,PIK,55.508,-4.587
Glasgow,United Kingdom,GLA,55.872,-4.433
Grenoble,France,GNB,45.363,5.329
Humberside,United Kingdom,HUY,53.574,-0.351
Inverness,United Kingdom,INV,57.54,-4.05
Islay,United Kingdom,ILY,55.682,-6.257
Kent (Manston) Kent International,United Kingdom,MSE,51.342,1.346
Kirkwall (Orkney),United Kingdom,KOI,58.958,-2.905
